,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,Predicted Status
130,30607,Analytics,region_22,Bachelor's,m,sourcing,1,28,5.0,4,1,0,85,0
131,46103,Technology,region_15,Bachelor's,m,other,1,26,3.0,3,0,0,77,0
132,6452,Finance,region_2,Master's & above,m,other,1,49,4.0,7,1,0,62,0
133,47286,Procurement,region_13,Bachelor's,f,other,1,34,3.0,9,0,0,68,0
134,44117,Finance,region_4,Master's & above,f,other,1,38,3.0,2,0,0,58,1
135,1367,Sales & Marketing,region_13,Master's & above,m,other,1,52,4.0,4,1,0,51,0
136,26228,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,31,1.0,7,1,0,50,0
137,65694,Technology,region_2,Bachelor's,f,other,1,24,1.0,2,0,0,82,0
138,2721,Analytics,region_22,,f,sourcing,2,26,5.0,3,1,0,86,0
139,63901,HR,region_7,Bachelor's,m,other,1,31,2.0,5,0,0,66,0
140,4701,Technology,region_26,Bachelor's,f,other,1,43,1.0,4,1,0,86,1
141,35341,Procurement,region_4,Master's & above,m,other,4,37,3.0,6,0,0,68,0
142,3203,Sales & Marketing,region_2,,m,sourcing,1,37,4.0,4,0,0,50,0
143,10361,HR,region_2,Master's & above,m,other,1,37,5.0,9,1,0,53,0
144,6572,Operations,region_29,Bachelor's,m,other,1,32,5.0,8,1,0,58,0
145,70408,Sales & Marketing,region_26,Bachelor's,f,other,1,30,4.0,2,0,0,53,1
146,11774,Procurement,region_20,Bachelor's,f,other,1,30,5.0,4,1,0,71,0
147,37873,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,27,4.0,3,0,0,50,0
148,3886,Sales & Marketing,region_2,Bachelor's,m,other,2,36,4.0,8,0,0,45,0
149,23347,Technology,region_9,Bachelor's,m,sourcing,4,30,3.0,2,0,0,78,1
150,3034,Procurement,region_2,Master's & above,m,sourcing,1,49,4.0,19,0,0,73,0
151,30137,Sales & Marketing,region_10,Master's & above,m,other,1,38,5.0,5,0,0,63,0
152,52431,Sales & Marketing,region_30,Bachelor's,m,other,1,29,3.0,6,0,0,51,1
153,11061,Technology,region_33,Bachelor's,m,other,1,48,3.0,6,1,0,81,0
154,9706,Sales & Marketing,region_21,Bachelor's,m,other,1,29,,1,0,0,53,0
155,17607,Analytics,region_2,Master's & above,m,other,1,59,4.0,13,0,0,82,0
156,64986,Operations,region_7,Bachelor's,f,other,1,36,5.0,5,1,0,62,0
157,8082,Finance,region_13,Bachelor's,m,other,1,28,3.0,3,0,0,59,1
158,20982,Procurement,region_22,Bachelor's,m,other,2,27,4.0,2,1,0,68,1
159,5794,Operations,region_2,Bachelor's,m,sourcing,1,25,3.0,2,0,0,62,0
160,69381,Sales & Marketing,region_26,Bachelor's,m,other,1,30,5.0,6,1,0,52,0
161,50176,HR,region_27,Below Secondary,m,other,1,23,,1,0,0,51,0
162,1612,HR,region_15,Bachelor's,f,sourcing,1,28,,1,0,0,50,0
163,48923,Sales & Marketing,region_2,Bachelor's,m,other,1,38,4.0,5,1,0,48,1
164,50366,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,,1,1,0,45,0
165,48813,HR,region_2,Bachelor's,f,other,1,53,4.0,21,0,0,53,0
166,5574,Sales & Marketing,region_8,Master's & above,m,other,1,35,3.0,8,0,0,45,0
167,57601,HR,region_2,Bachelor's,m,other,1,45,3.0,14,1,0,53,0
168,26788,Sales & Marketing,region_26,,m,sourcing,1,40,1.0,8,0,0,51,0
169,564,Operations,region_32,Bachelor's,m,other,1,39,3.0,8,0,0,58,0
170,3864,Analytics,region_13,Bachelor's,m,other,1,46,4.0,6,0,0,82,0
171,19598,Technology,region_5,Bachelor's,m,sourcing,2,29,3.0,3,0,0,79,0
172,19513,Analytics,region_6,Bachelor's,m,other,1,28,,1,1,0,84,0
173,74965,Technology,region_15,Bachelor's,f,other,1,34,4.0,6,1,0,82,0
174,42353,Sales & Marketing,region_9,Bachelor's,m,other,1,23,,1,1,0,47,0
175,13367,Sales & Marketing,region_14,Bachelor's,m,other,1,38,5.0,3,0,0,51,0
176,38556,HR,region_22,Master's & above,m,sourcing,1,32,3.0,5,0,0,52,0
177,51344,Operations,region_26,Bachelor's,m,other,1,33,3.0,5,1,0,58,1
178,28320,Procurement,region_2,Bachelor's,f,other,1,39,4.0,9,0,0,70,0
179,56104,Procurement,region_4,Master's & above,m,other,4,36,3.0,6,0,0,71,0
180,68882,Operations,region_22,Bachelor's,m,sourcing,2,33,4.0,4,0,0,59,1
181,75800,Sales & Marketing,region_2,Bachelor's,f,other,1,29,4.0,6,1,0,45,0
182,13223,R&D,region_7,Bachelor's,f,other,1,32,3.0,5,0,0,85,0
183,62740,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,26,3.0,2,1,0,46,0
184,67233,Analytics,region_32,Bachelor's,m,sourcing,1,38,3.0,3,0,0,82,0
185,49207,Procurement,region_22,Master's & above,m,sourcing,1,42,2.0,15,0,0,70,0
186,19053,Operations,region_32,Bachelor's,f,sourcing,1,30,5.0,6,0,0,60,0
187,38096,Analytics,region_22,Bachelor's,m,sourcing,2,28,,1,0,0,83,0
188,46519,Sales & Marketing,region_14,Bachelor's,m,other,1,36,4.0,6,0,0,47,1
189,2111,Procurement,region_2,Bachelor's,f,other,1,56,5.0,6,0,0,84,0
190,69413,Sales & Marketing,region_14,Bachelor's,f,other,1,30,3.0,5,0,0,51,0
191,53827,Sales & Marketing,region_15,Bachelor's,m,other,2,25,,1,0,0,50,1
192,40064,HR,region_7,Bachelor's,f,other,1,29,5.0,6,1,0,49,0
193,33502,Sales & Marketing,region_7,Bachelor's,m,other,1,36,2.0,7,0,0,47,0
194,15182,Technology,region_14,Bachelor's,f,other,1,39,3.0,4,0,0,80,0
195,13593,Analytics,region_26,Bachelor's,m,sourcing,1,30,5.0,4,1,0,84,1
196,15613,R&D,region_2,Bachelor's,m,other,2,42,3.0,9,0,0,84,0
197,75751,Sales & Marketing,region_26,Bachelor's,m,sourcing,2,37,4.0,9,0,0,49,0
198,71625,Procurement,region_22,Bachelor's,m,sourcing,1,31,2.0,2,1,0,66,0
199,37763,Sales & Marketing,region_28,Master's & above,m,sourcing,1,32,4.0,6,1,0,48,0
200,10812,Operations,region_15,Master's & above,m,other,1,40,5.0,11,1,0,59,0
201,67357,Finance,region_2,Bachelor's,m,sourcing,2,39,5.0,10,1,0,58,0
202,49583,Sales & Marketing,region_26,Bachelor's,m,other,1,40,4.0,10,1,0,47,0
203,45428,HR,region_22,Bachelor's,m,sourcing,1,23,1.0,2,0,0,45,0
204,9978,Operations,region_2,Bachelor's,m,sourcing,2,28,,1,0,0,60,1
205,44266,Sales & Marketing,region_7,Bachelor's,m,other,1,37,2.0,4,0,0,51,0
206,47252,Finance,region_2,Below Secondary,m,sourcing,1,23,,1,1,0,58,0
207,57884,Operations,region_2,Bachelor's,m,sourcing,1,37,3.0,9,0,0,61,0
208,24334,Legal,region_22,Bachelor's,m,referred,1,29,5.0,3,1,0,54,0
209,58892,Operations,region_32,Bachelor's,f,other,1,38,4.0,10,0,0,55,0
210,40799,Operations,region_22,Bachelor's,m,other,2,39,4.0,10,0,0,57,0
211,33879,Sales & Marketing,region_22,Master's & above,m,other,2,38,5.0,7,1,0,48,1
212,24403,Procurement,region_13,Bachelor's,m,sourcing,1,34,3.0,4,0,0,69,0
213,51150,Procurement,region_15,Bachelor's,f,other,1,48,5.0,21,0,0,69,1
214,7722,R&D,region_26,Master's & above,m,other,1,29,5.0,4,0,0,82,0
215,71271,Technology,region_13,Master's & above,f,other,1,37,4.0,7,1,0,81,0
216,56772,Sales & Marketing,region_22,,m,other,2,23,,1,1,0,53,0
217,65909,Operations,region_2,Bachelor's,f,other,1,47,5.0,2,1,0,63,0
218,8228,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,31,1.0,3,0,0,50,0
219,52138,Analytics,region_16,Bachelor's,m,other,1,28,3.0,4,0,0,83,1
220,22999,Finance,region_28,Master's & above,f,other,2,32,4.0,6,1,0,57,0
221,29196,Procurement,region_27,Bachelor's,f,other,1,33,2.0,4,1,0,71,0
222,10663,Legal,region_6,Bachelor's,m,sourcing,2,28,,1,1,0,58,0
223,65651,Legal,region_2,Bachelor's,m,other,1,32,,1,1,0,62,1
224,17973,Operations,region_6,Bachelor's,m,sourcing,1,34,3.0,10,0,0,67,0
225,10986,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,38,5.0,3,1,0,52,0
226,19355,Technology,region_33,Bachelor's,m,other,1,28,4.0,5,0,0,79,0
227,75402,Analytics,region_24,Master's & above,m,other,1,34,3.0,3,0,0,87,0
228,52587,Procurement,region_2,Bachelor's,m,other,1,44,2.0,16,0,0,70,1
229,41662,Procurement,region_20,Bachelor's,m,sourcing,1,28,3.0,4,0,0,69,0
230,73944,Operations,region_27,Bachelor's,f,other,1,31,1.0,5,1,0,61,0
231,3987,Analytics,region_29,Bachelor's,m,other,1,34,2.0,5,0,0,84,0
232,40057,Procurement,region_2,Below Secondary,m,other,1,22,3.0,2,1,0,71,0
233,76195,Procurement,region_2,Bachelor's,m,other,1,20,,1,0,0,76,1
234,12411,Procurement,region_11,Bachelor's,f,other,1,32,3.0,7,1,0,66,0
235,15161,Technology,region_2,Master's & above,f,other,1,43,3.0,6,1,0,80,0
236,59084,Analytics,region_2,Master's & above,f,other,1,42,5.0,13,1,0,85,1
237,53857,HR,region_7,Bachelor's,m,other,1,41,3.0,8,1,0,54,0
238,42772,Technology,region_11,Bachelor's,f,other,1,27,3.0,2,0,0,84,1
239,5294,Finance,region_2,Bachelor's,m,sourcing,1,41,4.0,9,0,0,56,0
240,56439,Technology,region_23,Bachelor's,m,other,1,26,5.0,2,1,0,76,0
241,29998,Analytics,region_34,Bachelor's,m,other,1,35,5.0,10,1,0,85,0
242,76599,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,28,1.0,3,0,0,58,0
243,27424,HR,region_2,Bachelor's,f,sourcing,1,50,1.0,9,0,0,46,1
244,45605,Sales & Marketing,region_22,Master's & above,m,other,1,29,,1,1,1,46,1
245,75833,Sales & Marketing,region_7,Master's & above,m,other,2,37,1.0,10,0,0,49,0
246,57068,Operations,region_4,Bachelor's,m,other,2,35,3.0,8,1,0,64,0
247,70129,Sales & Marketing,region_28,Master's & above,f,other,1,29,4.0,4,0,0,51,0
248,14733,Sales & Marketing,region_6,Bachelor's,f,sourcing,1,36,5.0,8,0,0,47,0
249,71886,Technology,region_5,Below Secondary,m,other,1,22,,1,1,0,79,1
250,7561,Finance,region_2,Bachelor's,m,other,1,36,3.0,3,0,0,55,0
251,59522,Operations,region_22,Bachelor's,f,other,2,37,4.0,2,0,0,71,0
252,44299,Analytics,region_29,Bachelor's,m,other,1,30,3.0,4,0,0,83,0
253,29220,Finance,region_2,Bachelor's,m,sourcing,2,26,2.0,2,0,0,54,1
254,15869,Procurement,region_13,Bachelor's,f,sourcing,2,28,5.0,3,1,0,68,1
255,51270,Operations,region_15,Bachelor's,m,other,1,49,4.0,9,0,0,61,1
256,14778,Analytics,region_22,,m,other,1,29,5.0,2,1,0,84,0
257,19212,Procurement,region_21,Master's & above,m,other,1,35,5.0,7,1,0,70,0
258,70890,Technology,region_24,Bachelor's,m,other,1,32,2.0,6,0,0,90,0
259,31183,Sales & Marketing,region_28,Master's & above,f,sourcing,1,42,3.0,4,0,0,54,0
260,46628,Technology,region_4,Master's & above,m,other,1,37,4.0,5,0,0,76,0
261,44670,Sales & Marketing,region_29,Bachelor's,m,other,1,28,5.0,2,0,0,45,0
262,70734,Procurement,region_15,Bachelor's,m,other,1,38,4.0,2,1,1,97,0
263,47051,Analytics,region_2,Bachelor's,m,sourcing,2,39,4.0,5,1,0,86,0
264,17760,Analytics,region_27,Bachelor's,m,other,1,28,5.0,2,1,0,87,0
265,8180,Operations,region_14,Bachelor's,m,other,2,34,3.0,10,0,0,60,0
266,24756,Operations,region_22,Bachelor's,f,other,1,37,3.0,3,0,0,63,0
267,56780,Sales & Marketing,region_2,Master's & above,f,sourcing,2,38,1.0,6,0,0,51,0
268,59919,Finance,region_2,Bachelor's,f,sourcing,1,24,5.0,2,1,0,57,0
269,18924,Sales & Marketing,region_11,Master's & above,m,other,1,36,3.0,7,0,0,52,1
270,42477,Procurement,region_2,Bachelor's,m,other,1,41,2.0,15,0,0,70,0
271,50900,Operations,region_22,Bachelor's,m,other,2,29,,1,0,0,60,0
272,11824,Technology,region_2,Master's & above,f,sourcing,2,59,1.0,15,0,0,76,0
273,51740,Sales & Marketing,region_12,Bachelor's,f,sourcing,1,29,3.0,1,0,0,48,1
274,51364,Operations,region_22,Bachelor's,f,other,1,29,5.0,3,0,0,57,1
275,64265,Sales & Marketing,region_13,Bachelor's,f,sourcing,3,31,1.0,5,0,0,51,0
276,46233,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,31,5.0,7,0,0,51,0
277,41215,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,4.0,3,0,0,50,0
278,47172,Sales & Marketing,region_26,Bachelor's,m,other,1,32,3.0,4,1,0,47,0
279,53542,Procurement,region_26,Bachelor's,f,other,1,49,4.0,8,0,0,68,0
280,2121,Operations,region_2,Master's & above,m,other,1,42,5.0,11,0,0,59,0
281,77677,Sales & Marketing,region_11,Bachelor's,m,other,1,32,5.0,7,1,0,49,1
282,38018,Analytics,region_11,Bachelor's,m,other,1,30,3.0,4,0,0,80,0
283,29799,Analytics,region_4,Bachelor's,m,other,1,32,5.0,8,0,0,86,0
284,565,Procurement,region_1,Bachelor's,f,sourcing,2,29,1.0,2,0,0,74,1
285,33473,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,31,1.0,6,0,0,50,0
286,14628,Sales & Marketing,region_20,Bachelor's,m,other,2,27,,1,1,1,48,1
287,46339,Operations,region_34,Bachelor's,m,other,1,30,3.0,2,1,0,58,0
288,6352,Operations,region_2,Bachelor's,f,sourcing,1,48,4.0,8,1,0,60,0
289,63568,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,5.0,12,0,0,50,0
290,15317,Analytics,region_23,Master's & above,m,sourcing,1,35,2.0,7,1,0,87,1
291,63035,Technology,region_2,Bachelor's,f,other,1,47,4.0,7,0,0,78,1
292,22942,Sales & Marketing,region_31,Master's & above,m,other,1,46,5.0,3,1,0,51,0
293,62212,Procurement,region_31,Master's & above,f,other,1,37,3.0,2,1,1,97,0
294,49252,Operations,region_19,Bachelor's,m,other,1,26,5.0,6,1,0,60,0
295,38520,Technology,region_6,Bachelor's,f,sourcing,1,31,5.0,4,1,0,87,0
296,65459,Operations,region_27,,m,other,1,26,,1,1,0,56,0
297,69109,Procurement,region_20,Bachelor's,f,other,1,28,2.0,4,0,0,69,0
298,67985,Operations,region_4,Master's & above,f,sourcing,2,36,1.0,6,1,1,65,0
299,74040,Technology,region_24,Master's & above,f,other,1,35,1.0,7,0,0,80,1
300,31049,Analytics,region_13,Bachelor's,m,sourcing,1,34,4.0,9,0,0,84,0
301,55523,Analytics,region_2,Master's & above,m,sourcing,2,58,5.0,6,1,0,81,1
302,40579,Sales & Marketing,region_22,Master's & above,m,sourcing,1,29,2.0,5,1,0,50,0
303,40211,Operations,region_13,Bachelor's,m,other,1,36,2.0,9,0,0,59,0
304,41982,R&D,region_2,Bachelor's,m,sourcing,1,30,1.0,4,0,0,84,0
305,24286,HR,region_2,Master's & above,f,other,1,40,3.0,10,0,0,49,0
306,53696,Procurement,region_15,Bachelor's,m,other,1,38,3.0,4,1,0,71,0
307,47130,Sales & Marketing,region_11,Bachelor's,m,other,1,36,2.0,5,0,0,52,0
308,25340,Sales & Marketing,region_2,Bachelor's,m,other,1,41,4.0,9,0,0,49,0
309,16794,Procurement,region_22,Master's & above,m,other,1,33,5.0,5,1,0,66,0
310,10399,Technology,region_31,Bachelor's,m,sourcing,1,29,1.0,4,0,0,79,0
311,9095,Operations,region_22,Master's & above,f,other,1,33,4.0,8,1,0,81,0
312,60624,Sales & Marketing,region_7,Master's & above,f,other,1,41,1.0,2,0,0,47,0
313,30188,Procurement,region_2,Master's & above,m,other,2,41,3.0,10,0,0,67,0
